"state","county","kfr_pooled_pooled_p25","kfr_pooled_pooled_p75"
13,283,0.37015605,0.60469854
13,285,0.33804658,0.548352
13,287,0.34095162,0.57213461
13,289,0.34532323,0.49413654
13,291,0.40268475,0.55877709
13,293,0.34327269,0.54886794
13,295,0.36523792,0.53282136
13,297,0.35753387,0.55060577
13,299,0.36017606,0.57348865
13,301,0.32335684,0.53594297
13,303,0.33435628,0.54136592
13,305,0.36527106,0.54894507
13,307,0.3635129,0.58634704
13,309,0.35542291,0.55504352
13,311,0.42383248,0.56295711
13,313,0.35674581,0.55326694
13,315,0.36384284,0.57887161
13,317,0.35652182,0.58291548
13,319,0.32270512,0.49786702
13,321,0.35761192,0.53625298
15,0,0.43562939,0.5593013925
15,1,0.41295773,0.54470277
15,3,0.45602056,0.57804769
15,7,0.43793973,0.56226963
15,9,0.43559954,0.55218548
16,0,0.468853096363636,0.594001962045455
16,1,0.43062603,0.56590587
16,3,0.50101757,0.5225991
16,5,0.42854518,0.57361645
16,7,0.53048104,0.64117712
16,9,0.4399026,0.5913471
16,11,0.46504906,0.60449982
16,13,0.45624241,0.56110269
16,15,0.44466484,0.53287584
16,17,0.4619042,0.57347167
16,19,0.44137359,0.58569282
16,21,0.47911727,0.60044158
16,23,0.49656436,0.60277438
16,25,0.41879675,0.53713977
16,27,0.41242597,0.5587365
16,29,0.51762152,0.60765374
16,31,0.4589161,0.61600006
16,33,0.50695574,0.58394694
16,35,0.48161909,0.62511939
16,37,0.55008233,0.64215803
16,39,0.42867124,0.58409071
16,41,0.52914071,0.62385529
16,43,0.47315502,0.6127817
16,45,0.44892702,0.58319914
16,47,0.45613462,0.61245644
16,49,0.49271488,0.62105757
16,51,0.50186622,0.60484982
16,53,0.44817823,0.60549349
16,55,0.44958007,0.57016146
16,57,0.47838426,0.60051805
16,59,0.47074503,0.57914329
16,61,0.45404363,0.68147141
16,63,0.48970199,0.60168952
16,65,0.51536697,0.63218552
16,67,0.45633942,0.63382256
16,69,0.43429041,0.5690614
16,71,0.54170579,0.60932994
16,73,0.45562488,0.57094514
16,75,0.42196861,0.58812034
16,77,0.45477277,0.59923673
16,79,0.42134413,0.57569051
16,81,0.52379525,0.6002515
16,83,0.44669428,0.58793408
16,85,0.45759839,0.57285452
16,87,0.45688677,0.58962733
17,0,0.433241360980392,0.610823195490196
17,1,0.42879194,0.62924188
17,3,0.32211855,0.51566094
17,5,0.41647035,0.61903214
17,7,0.41497758,0.56612664
17,9,0.42439929,0.64115882
17,11,0.45156419,0.62908131
17,13,0.52290136,0.67761528
17,15,0.47302896,0.6064949
17,17,0.42147365,0.62504601
17,19,0.40266365,0.59859824
17,21,0.43050331,0.60824901
17,23,-0.016485,0.61977971
17,25,0.42199692,0.64656574
17,27,0.47838074,0.65654629
17,29,0.40333819,0.58395201
17,31,0.38461408,0.58158344
17,33,0.43724287,0.61349589
17,35,0.44537684,0.62340736
17,37,0.4313046,0.59913158
17,39,0.42762977,0.57191956
17,41,0.47396854,0.61615676
17,43,0.48398623,0.62476873
17,45,0.41870713,0.60119843
17,47,0.46676019,0.61750275
17,49,0.46500161,0.65468729
17,51,0.42956212,0.62428576
17,53,0.46515602,0.62371063
17,55,0.42489561,0.59445822
17,57,0.41825032,0.5982542
17,59,0.45408115,0.64318013
17,61,0.43875042,0.61237383
17,63,0.43544772,0.61819768
17,65,0.46965456,0.63602144
17,67,0.49484143,0.63725179
17,69,0.44687796,0.60187805
17,71,0.47010902,0.64071029
17,73,0.4554241,0.63058585
17,75,0.45289558,0.62511384
17,77,0.40974066,0.58469123
17,79,0.4994401,0.64790434
17,81,0.3946574,0.59789044
17,83,0.44170195,0.6063509
17,85,0.51140821,0.62388581
17,87,0.4195596,0.59906811
17,89,0.39975157,0.58508492
17,91,0.39598995,0.59465885
17,93,0.45406237,0.59683985
17,95,0.40191913,0.60547256
17,97,0.41456291,0.59768724
17,99,0.43089336,0.60300565
17,101,0.40990335,0.63162607
17,103,0.4466539,0.61594093
17,105,0.43381014,0.62071592
17,107,0.4273026,0.61209041
17,109,0.45786658,0.62811208
17,111,0.46202949,0.60520196
17,113,0.42080611,0.59967077
17,115,0.37646765,0.59258717
17,117,0.43834057,0.61495036
17,119,0.39849702,0.58531404
17,121,0.40170267,0.58967817
17,123,0.42748693,0.61758369
17,125,0.3914668,0.61991251
17,127,0.37353873,0.57873785
17,129,0.43574932,0.60585833
17,131,0.47687036,0.62907147
17,133,0.48901716,0.62855721
17,135,0.43892664,0.63478327
17,137,0.40636027,0.60160744
17,139,0.47358412,0.59286523
17,141,0.4352268,0.59744376
17,143,0.36895794,0.58337742
17,145,0.42347324,0.61071497
17,147,0.44767785,0.6166116
17,149,0.47426876,0.64209646
17,151,0.41315404,0.57740796
